"CountryCode","SeriesCode","DESCRIPTION",
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ABW","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ABW","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ABW","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"AFG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AFG","MS.MIL.XPND.CN","2004 SIPRI estimates.",
"AFG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
